utc_time,gps_time,x_ecef_m,y_ecef_m,z_ecef_m,lat_deg,lon_deg,height_m,vx_mps,vy_mps,vz_mps,speed_mps,clock_bias_m,num_sats,rms_residual_m
2026-03-22T06:47:07.416831,2026-03-22T06:47:25.416831,4437207.2622,3084976.6721,3376141.0988,32.167028095,34.809030430,31.7567,-0.5354,1.4095,2.7967,3.1772,-28.2835,6,9.4512
2026-03-22T06:47:08.416831,2026-03-22T06:47:26.416831,4437206.7268,3084978.0816,3376143.8956,32.167047691,34.809045939,33.5546,-1.9328,-3.3954,-3.4303,5.1992,-24.8685,6,5.6295
2026-03-22T06:47:09.416831,2026-03-22T06:47:27.416831,4437203.3966,3084969.8813,3376134.2382,32.167009572,34.808994711,22.1360,-1.7156,-7.0301,-7.6872,10.5574,-33.7666,6,5.4409
2026-03-22T06:47:10.416831,2026-03-22T06:47:28.416831,4437203.2957,3084964.0214,3376128.5211,32.166982387,34.808944312,16.1906,0.1756,-1.7005,-6.7255,6.9394,-34.7960,6,3.9894
2026-03-22T06:47:11.416831,2026-03-22T06:47:29.416831,4437203.7478,3084966.4802,3376120.7872,32.166914828,34.808962979,13.5755,-0.0236,3.0284,-10.7391,11.1579,-35.8212,6,4.6308
2026-03-22T06:47:12.416831,2026-03-22T06:47:30.416831,4437203.2485,3084970.0782,3376107.0429,32.166802016,34.808997322,7.6498,11.3973,7.8312,1.7857,13.9432,-33.7229,7,9.9599
2026-03-22T06:47:13.416831,2026-03-22T06:47:31.416831,4437226.5424,3084982.1425,3376124.3586,32.166809312,34.808961363,38.8880,-0.8866,-8.2162,-4.1077,9.2285,-7.2887,6,5.8811
2026-03-22T06:47:14.416831,2026-03-22T06:47:32.416831,4437201.4753,3084953.6459,3376098.8276,32.166791327,34.808865011,-5.8967,-9.5562,-15.3483,-5.2799,18.8353,-38.3602,7,4.3324
2026-03-22T06:47:15.416831,2026-03-22T06:47:33.416831,4437207.4299,3084951.4460,3376113.7988,32.166888169,34.808809824,5.1493,7.6135,0.3910,10.6265,13.0783,-35.4003,7,6.3668
2026-03-22T06:47:16.416831,2026-03-22T06:47:34.416831,4437216.7024,3084954.4279,3376120.0806,32.166891398,34.808779664,16.3792,0.7298,-2.0395,1.5156,2.6437,-24.9064,7,3.2324
2026-03-22T06:47:17.416831,2026-03-22T06:47:35.416831,4437208.8895,3084947.3670,3376116.8299,32.166916733,34.808765484,5.8065,1.1684,-5.2089,0.0072,5.3384,-29.2627,7,3.5216
2026-03-22T06:47:18.416831,2026-03-22T06:47:36.416831,4437219.0392,3084944.0101,3376120.0950,32.166910848,34.808674835,12.9770,12.1026,-5.7860,9.7485,16.5826,-22.7451,6,5.1432
2026-03-22T06:47:19.416831,2026-03-22T06:47:37.416831,4437233.0946,3084935.7951,3376136.3268,32.167001865,34.808518260,27.4180,8.5694,-5.1808,1.0794,10.0718,-12.5518,6,4.5033
2026-03-22T06:47:20.416831,2026-03-22T06:47:38.416831,4437236.1781,3084933.6486,3376122.2538,32.166888164,34.808480914,21.0316,5.7222,-4.1446,2.0541,7.3580,-15.4649,6,4.8612
2026-03-22T06:47:21.416831,2026-03-22T06:47:39.416831,4437244.5390,3084927.5059,3376140.4351,32.167010830,34.808376843,33.5540,0.2192,-6.7171,5.7952,8.8742,-5.3685,6,5.9754
2026-03-22T06:47:22.416831,2026-03-22T06:47:40.416831,4437236.6165,3084920.2143,3376133.8441,32.167011731,34.808361317,21.0152,-2.9971,-7.0399,-0.9701,7.7126,-15.2135,6,3.1688
2026-03-22T06:47:23.416831,2026-03-22T06:47:41.416831,4437238.5449,3084913.4260,3376138.4949,32.167058235,34.808290554,21.5514,-3.1042,-7.9927,-0.9090,8.6224,-15.4922,6,5.3287
2026-03-22T06:47:24.416831,2026-03-22T06:47:42.416831,4437230.4081,3084904.2289,3376132.0261,32.167066135,34.808259737,8.0080,6.0230,-4.3537,1.4688,7.5755,-21.9660,6,2.8602
2026-03-22T06:47:25.416831,2026-03-22T06:47:43.416831,4437250.5909,3084904.7186,3376141.4325,32.167057038,34.808141854,27.2802,7.2599,-4.7901,6.9496,11.1331,-7.0917,6,3.7801
2026-03-22T06:47:26.416831,2026-03-22T06:47:44.416831,4437244.9279,3084894.6487,3376145.9252,32.167141255,34.808088469,20.8702,1.8430,-7.9231,3.8331,8.9925,-12.2601,6,5.8857
2026-03-22T06:47:27.416831,2026-03-22T06:47:45.416831,4437254.2770,3084888.8724,3376149.0986,32.167144456,34.807981606,26.2666,4.0803,-5.3665,1.5313,6.9133,-9.1094,6,5.2070
2026-03-22T06:47:28.416831,2026-03-22T06:47:46.416831,4437253.0884,3084883.9156,3376148.9879,32.167161881,34.807945650,22.9864,1.7162,-5.4537,2.3706,6.1893,-6.9699,6,5.6252
2026-03-22T06:47:29.416831,2026-03-22T06:47:47.416831,4437257.7094,3084877.9650,3376153.8398,32.167197010,34.807865884,25.9059,2.3979,-10.4331,2.8225,11.0709,-7.1563,6,4.3060
2026-03-22T06:47:30.416831,2026-03-22T06:47:48.416831,4437257.8842,3084863.0495,3376154.6329,32.167243253,34.807734986,19.2424,1.5446,-11.0105,3.3230,11.6043,-8.6409,7,8.1217
2026-03-22T06:47:31.416831,2026-03-22T06:47:49.416831,4437260.7987,3084855.9440,3376160.4859,32.167295917,34.807655495,20.9507,-1.4390,-7.5239,2.2424,7.9817,-9.2551,6,4.7688
2026-03-22T06:47:32.416831,2026-03-22T06:47:50.416831,4437255.0061,3084848.0017,3376159.1176,32.167330073,34.807621412,12.3586,5.0186,-0.9628,1.9556,5.4715,-13.1772,6,4.3406
